strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2022Q2,100528.32111150051,100848.37626850753,0.003183731245765431,3,0.3333333333333333,-0.0007803186030040932,5.080040170141134,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2022Q3,100848.37626850753,100657.0762353073,-0.0018969074196187874,7,0.42857142857142855,-0.002206150563502818,0.6108549941479801,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2022Q4,100657.0762353073,100545.29896643784,-0.0011104760147031545,2,0.0,-0.0011104760147031545,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2023Q1,100545.29896643784,100447.1475027412,-0.0009761914749431,1,0.0,-0.0009761914749431,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2023Q2,100447.1475027412,100232.13051334526,-0.0021405982622858533,1,0.0,-0.0021405982622858533,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2023Q3,100232.13051334526,100191.51177118174,-0.0004052467203429222,1,0.0,-0.0004052467203429222,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2024Q2,100191.51177118174,100038.60266952464,-0.0015261682247725838,2,0.0,-0.0015261682247725838,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2024Q3,100038.60266952464,101512.63498513594,0.014734635193583534,5,0.4,-0.0008434582180674166,18.274708195079103,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2025Q1,101512.63498513594,103505.88540053062,0.019635490849848836,5,0.4,-0.003670402393583294,5.4115478435032935,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2025Q2,103505.88540053062,102972.99264905593,-0.005148429477344063,3,0.0,-0.005148429477344063,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2025Q3,102972.99264905593,102814.67263620024,-0.0015374906447097603,1,0.0,-0.0015374906447097603,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2025Q4,102814.67263620024,102380.66564484398,-0.004221255393108692,6,0.16666666666666666,-0.008395933572789671,0.5986713243607465,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2026Q1,102380.66564484398,104698.1111125251,0.022635577265343265,6,0.16666666666666666,-0.011110274745153137,2.970124821707863,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,Q,2026Q2,104698.1111125251,104647.8608641719,-0.0004799537242767826,1,0.0,-0.0004799537242767826,0.0,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Best dynamic sizing under harsh cost assumptions
